MMSI|Ship Name|IMO|Call Sign|Type Code|Latitude|Longitude|Area
525000034|PALABUHAN 703|220150034|YBBE|80|-2.376845|106.48341|Java Sea
525000035|CIPATUJAH PACIFIC|220150035|YBIO|30|-4.680682|129.005558|Banda Sea
525000036|BULANG PRIDE|220150036|YBVU|52|-7.097452|137.000722|Arafura Sea
525000037|BANTEN FREIGHT|220150037|YBUI|31|-1.273308|118.911379|Makassar Strait
525000038|ANAMBAS STAR|220150038|YBNH|32|-5.852892|105.25447|Sunda Strait
525000039|CIAMIS 570|220150039|YBNS|36|-8.396115|115.902546|Lombok Strait
525000040|SINGKEP 027|220150040|YBMO|37|-8.256331|126.602171|Timor Sea
525000041|KABIL 051|220150041|YBZP|60|-3.117463|101.865013|Malacca Strait
525000042|CIPATUJAH SHIP|220150042|YBRH|70|-2.729962|111.586719|Java Sea
525000043|SINAR MAKMUR|220150043|YBVP|79|-2.664243|127.104611|Banda Sea
525000044|TANJUNG SPIRIT|220150044|YBAA|80|-6.274694|132.110119|Arafura Sea
525000045|RANTAU PROSPERITY|220150045|YBHD|30|-1.541328|117.942399|Makassar Strait
525000046|JOHOR TRADER|220150046|YBPY|52|-6.059202|106.244704|Sunda Strait
525000047|TELUK VESSEL|220150047|YBLF|31|-7.867594|114.220719|Lombok Strait
525000048|SUMATRA LINE|220150048|YBDS|32|-9.530752|123.813073|Timor Sea
525000049|BANTEN EXPRESS|220150049|YBRK|36|1.445671|98.55187|Malacca Strait
525000050|SELAT 762|220150050|YBNC|37|-4.651981|113.521119|Java Sea
525000051|PALABUHAN FERRY|220150051|YBJA|60|-3.262049|128.307036|Banda Sea
525000052|SAGULUNG CARRIER|220150052|YBAT|70|-8.050188|135.551764|Arafura Sea
525000053|TELUK TRADER|220150053|YBTQ|79|-2.157671|120.808691|Makassar Strait
525000054|SAMUDERA 610|220150054|YBWK|80|-6.300035|105.889666|Sunda Strait
525000055|MERATUS 366|220150055|YBQV|30|-8.381502|114.566217|Lombok Strait
525000056|SUMATRA HARMONY|220150056|YBFZ|52|-8.88818|125.903739|Timor Sea
525000057|PELNI MARINE|220150057|YBBI|31|-1.495275|98.963732|Malacca Strait
525000058|RUPAT NAVIGATOR|220150058|YBEL|32|-6.090036|106.821794|Java Sea
525000059|PAINAN 999|220150059|YBIP|36|-2.649864|129.716182|Banda Sea
525000060|MERAK ENTERPRISE|220150060|YBIF|37|-6.157469|135.044415|Arafura Sea
525000061|BAGAN MERCHANT|220150061|YBRF|60|-2.770974|117.552262|Makassar Strait
525000062|SEKUPANG TRADER|220150062|YBPK|70|-5.557954|105.755409|Sunda Strait
525000063|PANGKALAN 587|220150063|YBWN|79|-8.978499|114.572226|Lombok Strait
525000064|SINGKEP VOYAGER|220150064|YBNV|80|-8.847098|127.577278|Timor Sea
525000065|RANTAU CARRIER|220150065|YBDV|30|1.124346|97.698937|Malacca Strait
525000066|SUBANG FORTUNE|220150066|YBUV|52|-2.476081|113.823471|Java Sea
525000067|SIAK 978|220150067|YBGR|31|-4.556953|131.233941|Banda Sea
525000068|KEPULAUAN 633|220150068|YBGB|32|-8.196214|135.532202|Arafura Sea
525000069|BATAM 974|220150069|YBDW|36|-2.96489|119.37957|Makassar Strait
525000070|CIPATUJAH TANKER|220150070|YBQB|37|-6.744195|105.098428|Sunda Strait
525000071|JAKARTA 743|220150071|YBFY|60|-8.466529|115.201733|Lombok Strait
525000072|LABUHAN VESSEL|220150072|YBBW|70|-9.04275|123.447679|Timor Sea
525000073|KALIPUCANG MARITIME|220150073|YBEO|79|0.829913|100.544114|Malacca Strait
525000074|CIPATUJAH SEJAHTERA|220150074|YBMH|80|-2.553973|110.033383|Java Sea
525000075|SETOKO PACIFIC|220150075|YBTF|30|-3.815741|126.39873|Banda Sea
525000076|SAMUDERA LINER|220150076|YBUD|52|-7.565864|137.641965|Arafura Sea
525000077|KARIMUN PRIDE|220150077|YBIP|31|-1.856401|118.921429|Makassar Strait
525000078|SINGAPORE 999|220150078|YBPS|32|-6.120228|105.36221|Sunda Strait
525000079|SPIL 366|220150079|YBDV|36|-8.126393|114.146926|Lombok Strait
525000080|BENGKULU NAVIGATOR|220150080|YBDA|37|-9.055572|126.739331|Timor Sea
525000081|SUNGAI PROSPERITY|220150081|YBTC|60|-1.996323|98.878458|Malacca Strait
525000082|CIAMIS ATLANTIC|220150082|YBUK|70|-5.085147|108.95183|Java Sea
525000083|KARIMUN LINE|220150083|YBUW|79|-3.459376|125.845099|Banda Sea
525000084|JAKARTA CARRIER|220150084|YBHL|80|-6.22196|132.822|Arafura Sea
525000085|TANJUNG 966|220150085|YBGG|30|-3.306629|119.097736|Makassar Strait
525000086|BENGKULU 471|220150086|YBZA|52|-6.214359|106.318131|Sunda Strait
525000087|BANDUNG VICTORY|220150087|YBDY|31|-8.138068|116.071994|Lombok Strait
525000088|MERAK FORTUNE|220150088|YBJH|32|-9.489614|123.909838|Timor Sea
525000089|JAMPANG CARGO|220150089|YBSQ|36|-0.86095|97.94158|Malacca Strait
525000090|CIKIDANG PRIDE|220150090|YBGG|37|-2.255019|112.013286|Java Sea
525000091|TANGERANG VESSEL|220150091|YBJY|60|-2.807368|126.715395|Banda Sea
525000092|CIJULANG 405|220150092|YBUJ|70|-6.652112|134.100563|Arafura Sea
525000093|BENGKALIS 486|220150093|YBNU|79|-1.05572|117.356607|Makassar Strait
525000094|PULAU ATLANTIC|220150094|YBVN|80|-6.647027|106.03026|Sunda Strait
525000095|NUSANTARA FREIGHT|220150095|YBTO|30|-8.838664|114.800658|Lombok Strait
525000096|PEKANBARU 145|220150096|YBEL|52|-10.217903|125.510938|Timor Sea
525000097|DOMPAK FORTUNE|220150097|YBRA|31|0.920275|100.876266|Malacca Strait
525000098|BOGOR 112|220150098|YBQF|32|-3.446962|113.333158|Java Sea
525000099|BAGAN SEJAHTERA|220150099|YBYY|36|-2.66002|127.221383|Banda Sea
525000100|NONGSA 931|220150100|YBOR|37|-6.78644|136.194028|Arafura Sea
525000101|PULAU 489|220150101|YBOS|60|-3.440247|118.553228|Makassar Strait
525000102|PANGANDARAN ENTERPRISE|220150102|YBFH|70|-5.953423|104.646112|Sunda Strait
525000103|BULANG CARGO|220150103|YBYL|79|-8.35645|116.383314|Lombok Strait
525000104|DUMAI EXPLORER|220150104|YBHB|80|-8.301244|126.435316|Timor Sea
525000105|ROKAN JAYA|220150105|YBEC|30|-1.611705|100.570293|Malacca Strait
525000106|KUNDUR 101|220150106|YBJG|52|-4.761398|107.962777|Java Sea
525000107|LUBUK OCEAN|220150107|YBFQ|31|-4.721378|128.514044|Banda Sea
525000108|KUNDUR PRIDE|220150108|YBFO|32|-7.347673|137.441771|Arafura Sea
525000109|CISOLOK 555|220150109|YBNN|36|-1.806766|119.045115|Makassar Strait
525000110|PAMEUNGPEUK 899|220150110|YBFG|37|-5.852883|105.48861|Sunda Strait
525000111|BATU TANKER|220150111|YBAL|60|-8.842087|115.357995|Lombok Strait
525000112|BATU OCEAN|220150112|YBZS|70|-8.165087|126.972905|Timor Sea
525000113|SINGKEP EXPRESS|220150113|YBFJ|79|0.613884|100.879224|Malacca Strait
525000114|SUBANG WAVE|220150114|YBJQ|80|-6.215281|113.195126|Java Sea
525000115|TELAGA PRIDE|220150115|YBRS|30|-4.316127|130.413617|Banda Sea
525000116|NUSANTARA OCEAN|220150116|YBMJ|52|-8.362189|139.834073|Arafura Sea
525000117|SUMATRA STAR|220150117|YBHB|31|-2.628671|120.307741|Makassar Strait
525000118|GARUT JAYA|220150118|YBSJ|32|-5.950426|105.281909|Sunda Strait
525000119|KALIPUCANG 390|220150119|YBOD|36|-8.4452|115.989563|Lombok Strait
525000120|BANDUNG HARMONY|220150120|YBWI|37|-10.36413|126.7168|Timor Sea
525000121|PERTAMINA HARMONY|220150121|YBAS|60|-2.925426|100.970282|Malacca Strait
525000122|SPIL LINE|220150122|YBLP|70|-3.602057|113.735284|Java Sea
525000123|BENGKALIS FERRY|220150123|YBCJ|79|-4.500537|129.434802|Banda Sea
525000124|PARIAMAN SPIRIT|220150124|YBAI|80|-7.643782|132.730525|Arafura Sea
525000125|CIKIDANG 725|220150125|YBBB|30|-1.097526|117.224567|Makassar Strait
525000126|MERAK FREIGHT|220150126|YBXT|52|-6.780553|105.022956|Sunda Strait
525000127|PALABUHAN EXPLORER|220150127|YBKD|31|-8.78565|116.290454|Lombok Strait
525000128|UJUNG 754|220150128|YBZL|32|-8.632007|127.221315|Timor Sea
525000129|BINTAN FORTUNE|220150129|YBBS|36|-2.180883|97.007519|Malacca Strait
525000130|BENGKULU 284|220150130|YBTT|37|-6.034157|112.415191|Java Sea
525000131|UJUNG STAR|220150131|YBWB|60|-4.996089|128.717253|Banda Sea
525000132|SERANG HARMONY|220150132|YBWT|70|-6.287173|132.241629|Arafura Sea
525000133|INDRAGIRI 642|220150133|YBOH|79|-1.605859|119.373777|Makassar Strait
525000134|INDRAMAYU WAVE|220150134|YBQP|80|-5.536641|105.920026|Sunda Strait
525000135|JOHOR 040|220150135|YBOU|30|-7.912183|114.049254|Lombok Strait
525000136|RUPAT 408|220150136|YBJL|52|-8.051813|127.968124|Timor Sea
525000137|BENGKALIS 531|220150137|YBWC|31|-1.334019|98.550931|Malacca Strait
525000138|PANGANDARAN 653|220150138|YBAN|32|-3.819541|112.018986|Java Sea
525000139|INDRAGIRI WAVE|220150139|YBFL|36|-5.438179|129.091532|Banda Sea
525000140|SINAR SHIP|220150140|YBJE|37|-8.416174|132.518387|Arafura Sea
525000141|LINGGA 985|220150141|YBHY|60|-3.082945|120.218882|Makassar Strait
525000142|ASAHAN PROSPERITY|220150142|YBBE|70|-6.655989|104.572945|Sunda Strait
525000143|KEPULAUAN LINE|220150143|YBUI|79|-8.87365|116.290799|Lombok Strait
525000144|TANJUNG OCEAN|220150144|YBDK|80|-8.096784|124.855331|Timor Sea
525000145|TANTO EXPLORER|220150145|YBID|30|-2.56836|99.627708|Malacca Strait
525000146|NONGSA 704|220150146|YBOK|52|-3.568242|107.360696|Java Sea
525000147|PEKANBARU LINER|220150147|YBJD|31|-5.7942|126.299591|Banda Sea
525000148|TANGERANG MARINE|220150148|YBXT|32|-6.783618|139.360319|Arafura Sea
525000149|INDRAGIRI PACIFIC|220150149|YBBL|36|-2.1592|118.277435|Makassar Strait
525000150|BULANG ENTERPRISE|220150150|YBHT|37|-6.112354|106.03685|Sunda Strait
525000151|MEDAN TANKER|220150151|YBIJ|60|-8.644999|115.876493|Lombok Strait
525000152|SELAT FREIGHT|220150152|YBKD|70|-10.053971|127.132051|Timor Sea
525000153|CILEGON TANKER|220150153|YBQY|79|-1.213981|101.663778|Malacca Strait
525000154|MEDAN 568|220150154|YBTK|80|-3.697373|112.372839|Java Sea
525000155|TANJUNG JAYA|220150155|YBLJ|30|-2.644463|131.629939|Banda Sea
525000156|SAMUDERA STAR|220150156|YBDI|52|-8.604963|134.953971|Arafura Sea
525000157|KARIMUN WAVE|220150157|YBOY|31|-2.693016|118.121112|Makassar Strait
525000158|GARUT 850|220150158|YBZI|32|-6.249015|104.987635|Sunda Strait
525000159|KAMPAR PROSPERITY|220150159|YBRK|36|-7.731131|116.070169|Lombok Strait
525000160|KUNINGAN LINE|220150160|YBUX|37|-9.590664|125.812644|Timor Sea
525000161|SENGGARANG VESSEL|220150161|YBAF|60|-1.859179|99.261594|Malacca Strait
525000162|SUMATRA VOYAGER|220150162|YBSG|70|-2.306264|112.482303|Java Sea
525000163|KEPRI 859|220150163|YBMP|79|-5.361076|129.269154|Banda Sea
525000164|BEKASI CARGO|220150164|YBJQ|80|-7.513052|133.285791|Arafura Sea
525000165|TELUK 400|220150165|YBKE|30|-2.002858|119.901122|Makassar Strait
525000166|SINAR 754|220150166|YBVL|52|-6.073455|105.759856|Sunda Strait
525000167|BOGOR 455|220150167|YBFJ|31|-7.561686|115.442491|Lombok Strait
525000168|BELAWAN EXPRESS|220150168|YBOR|32|-9.769386|126.404607|Timor Sea
525000169|RIAU 696|220150169|YBPH|36|-3.064279|100.572612|Malacca Strait
525000170|LABUHAN EXPLORER|220150170|YBND|37|-5.99092|112.670413|Java Sea
525000171|PELABUHAN 338|220150171|YBAZ|60|-2.665931|127.113813|Banda Sea
525000172|SUNGAI VICTORY|220150172|YBDS|70|-6.366843|139.14404|Arafura Sea
525000173|KABIL VESSEL|220150173|YBFI|79|-2.3539|119.041519|Makassar Strait
525000174|CILEGON PRIDE|220150174|YBLX|80|-6.674875|105.934821|Sunda Strait
525000175|SINGAPORE FREIGHT|220150175|YBWD|30|-8.457027|114.223455|Lombok Strait
525000176|PAMEUNGPEUK 363|220150176|YBMK|52|-8.885043|127.24397|Timor Sea
525000177|PAMEUNGPEUK EXPRESS|220150177|YBHU|31|-2.172909|97.920007|Malacca Strait
525000178|SPIL EXPLORER|220150178|YBOU|32|-3.076331|109.224989|Java Sea
525000179|KALIPUCANG 787|220150179|YBCT|36|-5.332338|126.798626|Banda Sea
525000180|KEPRI CARRIER|220150180|YBFJ|37|-7.603237|133.578038|Arafura Sea
525000181|KEPULAUAN EXPLORER|220150181|YBVR|60|-3.631181|119.144733|Makassar Strait
525000182|KAMPAR 631|220150182|YBVA|70|-5.56956|104.872846|Sunda Strait
525000183|NUSANTARA ATLANTIC|220150183|YBAF|79|-8.428478|115.421469|Lombok Strait
525000184|BINTAN 728|220150184|YBLZ|80|-8.691674|124.918389|Timor Sea
525000185|LINGGA VICTORY|220150185|YBNK|30|-3.336465|97.436969|Malacca Strait
525000186|BATU WAVE|220150186|YBIX|52|-3.54313|110.912095|Java Sea
525000187|PULAU MERCHANT|220150187|YBZK|31|-2.691124|129.709344|Banda Sea
525000188|JAMPANG PIONEER|220150188|YBGT|32|-8.058707|134.922368|Arafura Sea
525000189|BANDUNG TANKER|220150189|YBBD|36|-2.733052|119.906805|Makassar Strait
525000190|KEPRI TRADER|220150190|YBII|37|-6.097034|106.396264|Sunda Strait
525000191|BALOI 384|220150191|YBAX|60|-8.756508|114.088775|Lombok Strait
525000192|PUNGGUR VICTORY|220150192|YBYL|70|-10.106303|123.085543|Timor Sea
525000193|TANTO 725|220150193|YBFH|79|-2.924343|97.400029|Malacca Strait
525000194|JOHOR 575|220150194|YBZB|80|-5.10884|113.814756|Java Sea
525000195|JOHOR 148|220150195|YBLZ|30|-4.21035|126.059395|Banda Sea
525000196|CIBALONG 586|220150196|YBXR|52|-8.504864|133.956357|Arafura Sea
525000197|MEDAN MERCHANT|220150197|YBNR|31|-1.240482|118.633007|Makassar Strait
525000198|SENGGARANG FORTUNE|220150198|YBWI|32|-5.943364|105.950978|Sunda Strait
525000199|PALABUHAN FREIGHT|220150199|YBZS|36|-8.738194|115.519258|Lombok Strait
525000200|LINGGA 161|220150200|YBKR|37|-10.358257|123.7425|Timor Sea
525000201|CIAMIS 005|220150201|YBBD|60|-0.341831|98.305314|Malacca Strait
525000202|CIMAHI 461|220150202|YBFX|70|-4.942218|110.663803|Java Sea
525000203|BENGKALIS MARINE|220150203|YBKG|79|-4.107098|131.025954|Banda Sea
525000204|PANDEGLANG 996|220150204|YBRS|80|-6.462187|133.346561|Arafura Sea
525000205|SUMATRA PRIDE|220150205|YBRS|30|-2.883537|119.4502|Makassar Strait
525000206|SINAR SPIRIT|220150206|YBZJ|52|-6.497355|106.247656|Sunda Strait
525000207|KAMPAR OCEAN|220150207|YBVX|31|-8.907159|115.504107|Lombok Strait
525000208|NUSANTARA 284|220150208|YBWP|32|-10.090645|125.776353|Timor Sea
525000209|KUNINGAN 753|220150209|YBFV|36|0.385053|97.224116|Malacca Strait
525000210|SENGGARANG 790|220150210|YBDE|37|-2.850304|113.168367|Java Sea
525000211|LOBAM 976|220150211|YBSF|60|-4.475784|130.095228|Banda Sea
525000212|DEPOK 143|220150212|YBEL|70|-8.128569|133.711379|Arafura Sea
525000213|PEKANBARU WAVE|220150213|YBJN|79|-3.242441|120.748469|Makassar Strait
525000214|LINGGA VESSEL|220150214|YBCO|80|-6.738276|105.865437|Sunda Strait
525000215|SUKABUMI 738|220150215|YBLW|30|-8.481781|115.127576|Lombok Strait
525000216|INDRAMAYU 411|220150216|YBDF|52|-10.237989|123.08617|Timor Sea
525000217|KUNINGAN 794|220150217|YBMJ|31|-0.167803|99.192534|Malacca Strait
525000218|PALABUHAN 003|220150218|YBEB|32|-6.35675|110.941148|Java Sea
525000219|SPIL 129|220150219|YBIC|36|-2.512537|126.497014|Banda Sea
525000220|SERANG CARRIER|220150220|YBUQ|37|-9.368123|135.78517|Arafura Sea
525000221|SAMUDERA 885|220150221|YBJF|60|-2.611243|117.26965|Makassar Strait
525000222|SUNGAI 224|220150222|YBHC|70|-5.531712|106.143875|Sunda Strait
525000223|LABUHAN STAR|220150223|YBBQ|79|-7.90443|115.033071|Lombok Strait
525000224|DEPOK SPIRIT|220150224|YBRX|80|-9.057262|125.684274|Timor Sea
525000225|TASIKMALAYA 413|220150225|YBGG|30|-0.402598|101.820035|Malacca Strait
525000226|CIKIDANG 235|220150226|YBWR|52|-4.555726|113.968945|Java Sea
525000227|BELAWAN STAR|220150227|YBHN|31|-4.661851|125.669061|Banda Sea
525000228|BOGOR 131|220150228|YBWW|32|-6.922846|134.53105|Arafura Sea
525000229|MORO MARITIME|220150229|YBCH|36|-1.012178|117.87368|Makassar Strait
525000230|KEPRI MERCHANT|220150230|YBMI|37|-5.998524|104.781951|Sunda Strait
525000231|SAGULUNG JAYA|220150231|YBMA|60|-8.739427|115.433162|Lombok Strait
525000232|BINTAN PRIDE|220150232|YBDL|70|-9.494564|124.089556|Timor Sea
525000233|CIKELET 296|220150233|YBSL|79|1.327398|100.226829|Malacca Strait
525000234|GARUT FERRY|220150234|YBEA|80|-5.694615|111.289809|Java Sea
525000235|SELAT FERRY|220150235|YBIA|30|-2.639081|125.456785|Banda Sea
525000236|KISARAN MARINE|220150236|YBRS|52|-6.19232|137.345558|Arafura Sea
525000237|PAMEUNGPEUK SEJAHTERA|220150237|YBIF|31|-1.159219|119.226718|Makassar Strait
525000238|KEPRI VESSEL|220150238|YBJB|32|-5.673839|104.778574|Sunda Strait
525000239|CIPATUJAH JAYA|220150239|YBTT|36|-7.807746|114.018366|Lombok Strait
525000240|SAMBAU LINE|220150240|YBKQ|37|-10.233273|123.54472|Timor Sea
525000241|PANGKALAN 114|220150241|YBAA|60|-3.494722|97.579171|Malacca Strait
525000242|PELABUHAN OCEAN|220150242|YBAA|70|-6.089909|112.614045|Java Sea
525000243|KALIPUCANG STAR|220150243|YBPG|79|-3.351092|125.947164|Banda Sea
525000244|BALOI PROSPERITY|220150244|YBVE|80|-8.057304|139.976228|Arafura Sea
525000245|ROKAN 120|220150245|YBOK|30|-1.904649|117.621929|Makassar Strait
525000246|KUNINGAN LINER|220150246|YBHT|52|-6.04543|104.762825|Sunda Strait
525000247|JAKARTA 120|220150247|YBDU|31|-8.079431|115.538426|Lombok Strait
525000248|SINGAPORE TANKER|220150248|YBXI|32|-8.637017|127.287374|Timor Sea
525000249|SELAT 422|220150249|YBWQ|36|-1.676395|101.976627|Malacca Strait
525000250|MENTAWAI PRIDE|220150250|YBKN|37|-2.696061|106.59467|Java Sea
525000251|BULANG JAYA|220150251|YBDR|60|-2.804575|128.17564|Banda Sea
525000252|BOGOR 949|220150252|YBHJ|70|-7.034988|132.563029|Arafura Sea
525000253|CIBALONG 276|220150253|YBXL|79|-1.359815|119.675068|Makassar Strait
525000254|SIAK TRADER|220150254|YBMN|80|-5.939776|105.926036|Sunda Strait
525000255|BAGAN NAVIGATOR|220150255|YBGS|30|-8.089698|114.517208|Lombok Strait
525000256|PARIAMAN LINER|220150256|YBJZ|52|-8.007966|125.212969|Timor Sea
525000257|BAGAN STAR|220150257|YBKF|31|-0.087226|101.718652|Malacca Strait
525000258|PANGANDARAN MAKMUR|220150258|YBIW|32|-2.47641|112.637582|Java Sea
525000259|BAGAN FREIGHT|220150259|YBJH|36|-2.879957|127.960172|Banda Sea
525000260|PELNI LINE|220150260|YBLP|37|-7.544204|136.387121|Arafura Sea
525000261|HARBOUR JAYA|220150261|YBXO|60|-2.302732|117.204671|Makassar Strait
525000262|CISOLOK FERRY|220150262|YBIN|70|-6.679284|105.279039|Sunda Strait
525000263|BAGAN LINE|220150263|YBSI|79|-8.040193|115.40141|Lombok Strait
525000264|SPIL 897|220150264|YBKD|80|-9.720555|123.681869|Timor Sea
525000265|SELAT TRADER|220150265|YBJR|30|-1.857818|101.844028|Malacca Strait
525000266|TELUK EXPRESS|220150266|YBXG|52|-5.766828|109.197336|Java Sea
525000267|SINAR 513|220150267|YBEU|31|-4.674428|126.00426|Banda Sea
525000268|PAMEUNGPEUK 701|220150268|YBBW|32|-9.257768|132.659055|Arafura Sea
525000269|SEKUPANG 860|220150269|YBQI|36|-3.70279|118.333394|Makassar Strait
525000270|BENGKULU WAVE|220150270|YBGC|37|-5.721305|106.485039|Sunda Strait
525000271|SUBANG MERCHANT|220150271|YBUW|60|-8.883583|116.06023|Lombok Strait
525000272|SAMBAU 757|220150272|YBMA|70|-8.6713|127.461204|Timor Sea
525000273|UJUNG ATLANTIC|220150273|YBLG|79|-0.249983|98.771728|Malacca Strait
525000274|ASAHAN MARITIME|220150274|YBQU|80|-4.281935|111.829215|Java Sea
525000275|TELUK 526|220150275|YBAR|30|-5.584027|126.772491|Banda Sea
525000276|PARIAMAN CARGO|220150276|YBCS|52|-7.929851|137.197058|Arafura Sea
525000277|CISOLOK VOYAGER|220150277|YBTP|31|-2.906399|119.548835|Makassar Strait
525000278|SEKUPANG WAVE|220150278|YBRX|32|-5.978811|104.987892|Sunda Strait
525000279|BENGKALIS MARITIME|220150279|YBXY|36|-7.875689|115.186061|Lombok Strait
525000280|PANGANDARAN 208|220150280|YBCJ|37|-8.290781|124.276005|Timor Sea
525000281|PURWAKARTA ATLANTIC|220150281|YBJH|60|-2.725993|98.571321|Malacca Strait
525000282|SIAK 724|220150282|YBIA|70|-3.115892|108.791315|Java Sea
525000283|CIKIDANG 884|220150283|YBTR|79|-5.60547|125.221681|Banda Sea
525000284|MAJALENGKA SEJAHTERA|220150284|YBKP|80|-9.467384|136.982321|Arafura Sea
525000285|PALABUHAN MAKMUR|220150285|YBTA|30|-2.294329|117.696466|Makassar Strait
525000286|PANDEGLANG 093|220150286|YBOG|52|-6.793208|104.877166|Sunda Strait
525000287|LINGGA 340|220150287|YBHN|31|-7.594692|115.470717|Lombok Strait
525000288|PARIAMAN 707|220150288|YBBL|32|-8.288044|126.847339|Timor Sea
525000289|INDRAGIRI VESSEL|220150289|YBKY|36|-1.187686|97.133058|Malacca Strait
525000290|RIAU 519|220150290|YBBZ|37|-2.233194|106.776748|Java Sea
525000291|HARBOUR 601|220150291|YBSJ|60|-3.835724|125.236409|Banda Sea
525000292|NUSANTARA LINE|220150292|YBMV|70|-9.04535|133.614452|Arafura Sea
525000293|PANDEGLANG CARRIER|220150293|YBFW|79|-2.187332|119.401185|Makassar Strait
525000294|RANTAU SPIRIT|220150294|YBEA|80|-6.094065|105.135455|Sunda Strait
525000295|KARIMUN NAVIGATOR|220150295|YBWD|30|-8.813916|114.390272|Lombok Strait
525000296|LABUHAN 373|220150296|YBYF|52|-8.936261|127.568207|Timor Sea
525000297|MEDAN TRADER|220150297|YBGW|31|0.690794|101.583112|Malacca Strait
525000298|JAMPANG 851|220150298|YBDD|32|-2.120647|109.882042|Java Sea
525000299|TELAGA MARINE|220150299|YBZA|36|-5.488366|130.544953|Banda Sea
525000300|JOHOR PIONEER|220150300|YBCL|37|-7.760329|137.552257|Arafura Sea
525000301|SAMUDERA OCEAN|220150301|YBRU|60|-3.361626|117.333485|Makassar Strait
525000302|PALABUHAN 694|220150302|YBAX|70|-5.54637|105.378335|Sunda Strait
525000303|TELUK 644|220150303|YBDI|79|-7.967792|114.949073|Lombok Strait
525000304|TANGERANG STAR|220150304|YBUA|80|-10.207433|126.015501|Timor Sea
525000305|BENGKULU CARRIER|220150305|YBHI|30|-3.370432|98.386617|Malacca Strait
525000306|MORO PIONEER|220150306|YBXX|52|-6.019115|109.86277|Java Sea
525000307|MERATUS 457|220150307|YBSC|31|-5.827433|126.865071|Banda Sea
525000308|NONGSA LINE|220150308|YBNU|32|-8.372242|137.667152|Arafura Sea
525000309|MEDAN ATLANTIC|220150309|YBCG|36|-2.812108|117.399193|Makassar Strait
525000310|TANTO SEJAHTERA|220150310|YBIJ|37|-6.377382|104.723735|Sunda Strait
525000311|PANGANDARAN LINER|220150311|YBQV|60|-8.095859|114.646567|Lombok Strait
525000312|NATUNA MAKMUR|220150312|YBSA|70|-9.994637|125.486142|Timor Sea
